Air1,,Benzene,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
330.5102539,-7.454519073E-005,330.5102539,0.0007370031672,
330.0031738,-0.0002114368835,330.0031738,0.0001449338306,
329.4960632,-0.0002901365515,329.4960632,0.000304085348,
328.9888611,-6.031011799E-005,328.9888611,0.0003908727667,
328.4816589,-0.0001117094725,328.4816589,0.0004018066102,
328.0134583,-0.0001431775745,328.0134583,0.0003974019492,
327.5061951,-0.0001462311047,327.5061951,0.0003328398743,
326.9989014,-0.0003154353763,326.9989014,0.0002972726361,
326.4915466,-0.0001412626443,326.4915466,0.0004083100648,
325.9841919,-0.0004380284809,325.9841919,0.0004025839153,
325.5158386,-0.000239741421,325.5158386,0.0003882559249,
325.0083923,-7.273347728E-005,325.0083923,0.0003999411128,
324.5009155,-0.0002169220097,324.5009155,0.0001546703133,
323.9934387,-0.0003148145624,323.9934387,0.0004255407548,
323.4859009,-4.524631731E-005,323.4859009,0.0004640467232,
323.017395,-0.0001700892753,323.017395,0.0003730993776,
322.5097656,1.431517649E-005,322.5097656,0.00039232368,
322.0021362,-0.0001268744818,322.0021362,0.0003673477913,
321.4945068,-0.0003184876987,321.4945068,0.0003620885254,
320.9868469,-0.0001406933297,320.9868469,0.0005196350394,
320.518158,0.0002217440342,320.518158,0.0006203341181,
320.0104065,-0.000321902131,320.0104065,0.0003262080136,
319.5026245,-0.0004492515,319.5026245,0.0001751538948,
318.994812,-0.0002744080848,318.994812,0.0004126112035,
318.486969,-9.90284243E-005,318.486969,0.0005286801606,
318.0181274,-3.608354018E-005,318.0181274,0.0003615703608,
317.5102539,-0.0001759371662,317.5102539,0.0002700228069,
317.0022583,-9.385238081E-005,317.0022583,0.0003253013419,
316.4942932,-0.0002645257919,316.4942932,0.0005416132044,
315.9862671,-0.0001126411225,315.9862671,0.0003969355894,
315.517334,-0.000354130927,315.517334,0.0001276883704,
315.0092773,-0.0001228891924,315.0092773,0.0004248152545,
314.5011902,-0.0001938426431,314.5011902,0.0005498552928,
313.9930115,-0.0001321536402,313.9930115,0.0004514269531,
313.4848633,-0.0002262879425,313.4848633,0.000407195912,
313.0157471,-0.0001544599945,313.0157471,0.0002535234962,
312.5075073,-0.0001094838444,312.5075073,0.0002234274871,
311.9992676,-0.0002772537409,311.9992676,0.0003838773118,
311.4909668,-0.0001935321488,311.4909668,0.0003118825553,
310.9826355,-9.038439748E-005,310.9826355,0.0002989304776,
310.5133972,-0.0001462311047,310.5133972,0.0003592905123,
310.0050049,-0.000187166981,310.0050049,0.0004630360927,
309.4966125,-9.328300803E-005,309.4966125,0.0003724775743,
308.9881592,-0.0001703997841,308.9881592,0.0002789073042,
308.5187988,-0.000107931075,308.5187988,0.0004597968946,
308.0102844,-0.0001794044656,308.0102844,0.0004675709934,
307.501709,-0.0001692612423,307.501709,0.0003545753716,
306.9931641,-0.0003401636786,306.9931641,0.0002512182982,
306.4845886,-0.0001621194388,306.4845886,0.0002394076437,
306.0150757,-0.0001788869704,306.0150757,0.0004403363855,
305.5064087,-0.0001566336286,305.5064087,0.0003644720127,
304.9977112,-0.00011678179,304.9977112,0.0004924230743,
304.4889832,-0.0002670610556,304.4889832,0.0003275292111,
304.0193787,-0.0002987766056,304.0193787,0.0003735398059,
303.5105591,-7.61040792E-006,303.5105591,0.0005518510006,
303.0018005,-0.0001495951292,303.0018005,0.0002732864814,
302.4929199,-0.0002224070486,302.4929199,0.0001554471673,
301.9840393,-0.0003821675491,301.9840393,0.0003029973886,
301.5143127,-0.0001260981226,301.5143127,0.0003302233818,
301.0053711,-8.960798004E-005,301.0053711,0.0004688407644,
300.4963989,-0.0001455582969,300.4963989,0.0004766150087,
299.9874268,-0.0003249543952,299.9874268,0.0003706639982,
299.5175476,-0.000351958297,299.5175476,0.0002308865369,
299.0084839,-0.0003970644902,299.0084839,0.0002848131408,
298.4994202,-5.342535223E-005,298.4994202,0.0002499491675,
297.9902954,-0.0001358800801,297.9902954,0.0001493100426,
297.4811401,-0.0002986731124,297.4811401,0.0003383578442,
297.0111389,-0.0003401119611,297.0111389,0.0005320494529,
296.5019531,-0.0002853249316,296.5019531,0.0004683743173,
295.9927368,-0.0001775932033,295.9927368,0.0004166532599,
295.483429,-0.000219716283,295.483429,0.0003258712532,
295.0133057,-3.137265958E-005,295.0133057,0.0005479372921,
294.5039673,-4.767933569E-005,294.5039673,0.0004233642248,
293.9946289,-0.0002092635114,293.9946289,0.0003078414593,
293.48526,-6.056894199E-005,293.48526,0.000348202273,
293.0150452,-1.956935193E-005,293.0150452,0.0002470223699,
292.5056152,-0.0001806464861,292.5056152,0.0003127374221,
291.9961548,-0.0003842365986,291.9961548,0.0003450934892,
291.4866333,-0.0001946706179,291.4866333,0.0001484296226,
291.0163269,-0.0004130988382,291.0163269,0.0002959774574,
290.5067444,-0.0003295068746,290.5067444,0.0002612679964,
289.9971619,-0.0004539061338,289.9971619,0.000298645522,
289.4875488,-0.0001286859624,289.4875488,0.0004945481778,
289.0171204,-0.0002559367858,289.0171204,0.0003990342666,
288.5074463,-0.0002482272685,288.5074463,0.0004206176382,
287.9977722,-0.0001277543488,287.9977722,0.0001724347821,
287.4880066,4.046165486E-005,287.4880066,0.0003743947891,
287.0174866,0.0001531942835,287.0174866,0.0004999904195,
286.5076599,-0.0001712278026,286.5076599,0.0002588850621,
285.9978638,-0.0002214756387,285.9978638,0.0004263699229,
285.4880371,0.0001451668795,285.4880371,0.0004279764253,
285.017395,-0.0002386548149,285.017395,0.0003305601422,
284.5075073,-0.0001865977392,284.5075073,0.000319058192,
283.9975586,-0.0001031692154,283.9975586,0.0003142657806,
283.4876099,4.78893071E-006,283.4876099,0.0004921380314,
283.0168152,-5.482302004E-005,283.0168152,0.0002250591351,
282.5068359,-0.0001834409923,282.5068359,0.0001921163785,
281.9967651,-0.0003442504385,281.9967651,0.0002257584274,
281.4867249,-0.0001998454536,281.4867249,0.0003618553455,
281.0158691,-0.0004277878325,281.0158691,0.000444793317,
280.5057678,-0.0002405175765,280.5057678,0.00060760614,
279.9956055,-9.059144213E-005,279.9956055,0.0004685816239,
279.4854126,-0.0003284204868,279.4854126,0.0003839809506,
279.0144348,-0.0004645081644,279.0144348,0.0001804626809,
278.5042114,-7.35099311E-005,278.5042114,0.0006442616577,
277.9939575,-7.765096234E-005,277.9939575,0.000579118554,
277.4836426,-0.0002538154076,277.4836426,0.0004431867565,
277.0126038,-0.0002460023388,277.0126038,0.0003787992173,
276.5022278,-0.0002687684901,276.5022278,0.0005079725524,
275.9918518,-0.0001745916379,275.9918518,0.0004298679705,
275.4814453,-6.27948175E-005,275.4814453,0.0007119814982,
275.0102844,-0.0003141937486,275.0102844,0.000592545548,
274.4998169,-9.675096953E-005,274.4998169,0.0009764024289,
273.9893494,-0.0003139868204,273.9893494,0.0005733901635,
273.5181274,-0.0003113483544,273.5181274,0.000873182551,
273.0075989,-0.0001083969037,273.0075989,0.0007776113343,
272.4970093,-0.0001557020732,272.4970093,0.0008309315308,
271.9864197,-8.903859998E-005,271.9864197,0.000684550032,
271.5150452,-0.0002824793337,271.5150452,0.00116373424,
271.0043945,-0.0001747468923,271.0043945,0.00162952044,
270.4937439,-0.0001919279312,270.4937439,0.002662491985,
269.9830627,-0.0003027602797,269.9830627,0.003517013974,
269.5116272,2.56278654E-005,269.5116272,0.005825208966,
269.000885,-6.227717677E-005,269.000885,0.008648782969,
