R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey,,R110+Gly_Obs560nm_slitex10em5_780V_VH_Geoffrey1,,R110+Gly_Exc470nm_slitex10em5_780V_VV_Geoffrey2,,R110+Gly_Exc470nm_slitex10em5_780V_VH_Geoffrey3,,R110+Gly_Exc470nm_slitex10em5_780V_HV_Geoffrey4,,R110+Gly_Exc470nm_slitex10em5_780V_HH_Geoffrey5,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
511.9400024,742.6799316,511.9400024,209.1680145,592.0499878,45.20205307,592.0499878,11.80404758,592.0499878,19.70409012,592.0499878,7.307294846,
512.9799805,734.4152832,512.9799805,204.064621,592.9400024,43.53236008,592.9400024,10.48094177,592.9400024,18.58825874,592.9400024,6.98144865,
514.0200195,717.9685059,514.0200195,199.636673,593.9699707,40.32364655,593.9699707,10.37027359,593.9699707,17.80393982,593.9699707,7.278845787,
515.0700073,690.4570313,515.0700073,193.1167603,595,38.48078918,595,10.4438448,595,17.32531357,595,7.301557541,
515.9699707,671.3366699,515.9699707,186.9944611,596.0200195,37.292202,596.0200195,10.1694994,596.0200195,16.50333023,596.0200195,6.945824146,
517.0100098,648.9766235,517.0100098,180.8760223,597.0499878,36.18653488,597.0499878,9.49246788,597.0499878,16.02747154,597.0499878,5.767105103,
518.0499878,617.8164673,518.0499878,174.5500336,597.9400024,34.23226166,597.9400024,9.302822113,597.9400024,15.36696434,597.9400024,5.156992435,
518.9500122,579.0790405,518.9500122,165.3007202,,,,,,,,,
520,536.1189575,520,150.9611664,,,,,,,,,
521.039978,488.7092896,521.039978,135.1908264,,,,,,,,,
521.9400024,440.8557129,521.9400024,122.122612,,,,,,,,,
522.9799805,397.4891052,522.9799805,111.7421722,,,,,,,,,
524.0200195,356.030304,524.0200195,100.1307678,,,,,,,,,
525.0700073,324.1161194,525.0700073,89.11364746,,,,,,,,,
525.9699707,293.2475891,525.9699707,79.717453,,,,,,,,,
527.0100098,265.7344666,527.0100098,70.70727539,,,,,,,,,
528.0499878,239.4034424,528.0499878,65.02358246,,,,,,,,,
528.9500122,217.4804077,528.9500122,59.69408798,,,,,,,,,
530,195.9212189,530,55.04318237,,,,,,,,,
531.039978,178.4718628,531.039978,48.8474884,,,,,,,,,
531.9400024,165.6335144,531.9400024,45.74207306,,,,,,,,,
532.9799805,151.5314941,532.9799805,41.86747742,,,,,,,,,
534.0200195,135.8656769,534.0200195,37.90988922,,,,,,,,,
535.0700073,120.3056564,535.0700073,33.6049881,,,,,,,,,
535.9699707,103.779953,535.9699707,28.85338593,,,,,,,,,
537.0100098,87.84869385,537.0100098,23.51440239,,,,,,,,,
538.0499878,72.30091858,538.0499878,19.36002541,,,,,,,,,

R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey,
R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey
Collection Time: 2/11/25 2:40:10 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         540.00
Em. Wavelength (nm)               560.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   780
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 2/11/25 2:01:25 PM
Method Modifications:
PMT Volts Changed: 2/11/25 2:02:46 PM, Old:600, New:800
Ex. Slit Width (nm): Changed: 2/11/25 2:02:46 PM, Old:5, New:10
User Delta Increment Changed: 2/11/25 2:02:46 PM, Old:  10.00, New:   0.15
Smoothing Changed: 2/11/25 2:02:46 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 2/11/25 2:02:46 PM, Old: 600, New: 800
Excitation Wavelength Changed: 2/11/25 2:02:46 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:02:46 PM, Old: 400.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:02:46 PM, Old: 600.00, New: 540.00
PMT Volts Changed: 2/11/25 2:05:22 PM, Old:800, New:780
Emission PMT (V): Changed: 2/11/25 2:05:22 PM, Old: 800, New: 780
Excitation Wavelength Changed: 2/11/25 2:05:22 PM, Old: 340.00, New: 400.00
Excitation Wavelength Changed: 2/11/25 2:11:11 PM, Old: 400.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:11:11 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:11:11 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:22:03 PM, Old: 470.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:22:03 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:22:03 PM, Old: 600.00, New: 540.00
Excitation Wavelength Changed: 2/11/25 2:26:30 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:26:30 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:26:30 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:35:22 PM, Old: 470.00, New: 400.00
Emission Wavelength Changed: 2/11/25 2:35:22 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:35:22 PM, Old: 600.00, New: 540.00
End Method Modifications

R110+Gly_Obs560nm_slitex10em5_780V_VH_Geoffrey1,
R110+Gly_Obs560nm_slitex10em5_780V_VH_Geoffrey1
Collection Time: 2/11/25 2:40:53 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         540.00
Em. Wavelength (nm)               560.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   780
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 2/11/25 2:01:25 PM
Method Modifications:
PMT Volts Changed: 2/11/25 2:02:46 PM, Old:600, New:800
Ex. Slit Width (nm): Changed: 2/11/25 2:02:46 PM, Old:5, New:10
User Delta Increment Changed: 2/11/25 2:02:46 PM, Old:  10.00, New:   0.15
Smoothing Changed: 2/11/25 2:02:46 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 2/11/25 2:02:46 PM, Old: 600, New: 800
Excitation Wavelength Changed: 2/11/25 2:02:46 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:02:46 PM, Old: 400.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:02:46 PM, Old: 600.00, New: 540.00
PMT Volts Changed: 2/11/25 2:05:22 PM, Old:800, New:780
Emission PMT (V): Changed: 2/11/25 2:05:22 PM, Old: 800, New: 780
Excitation Wavelength Changed: 2/11/25 2:05:22 PM, Old: 340.00, New: 400.00
Excitation Wavelength Changed: 2/11/25 2:11:11 PM, Old: 400.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:11:11 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:11:11 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:22:03 PM, Old: 470.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:22:03 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:22:03 PM, Old: 600.00, New: 540.00
Excitation Wavelength Changed: 2/11/25 2:26:30 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:26:30 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:26:30 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:35:22 PM, Old: 470.00, New: 400.00
Emission Wavelength Changed: 2/11/25 2:35:22 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:35:22 PM, Old: 600.00, New: 540.00
End Method Modifications

R110+Gly_Exc470nm_slitex10em5_780V_VV_Geoffrey2,
R110+Gly_Exc470nm_slitex10em5_780V_VV_Geoffrey2
Collection Time: 2/11/25 2:42:57 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        480.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               470.00
Ex. Slit (nm)                     10
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   780
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 2/11/25 2:01:25 PM
Method Modifications:
PMT Volts Changed: 2/11/25 2:02:46 PM, Old:600, New:800
Ex. Slit Width (nm): Changed: 2/11/25 2:02:46 PM, Old:5, New:10
User Delta Increment Changed: 2/11/25 2:02:46 PM, Old:  10.00, New:   0.15
Smoothing Changed: 2/11/25 2:02:46 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 2/11/25 2:02:46 PM, Old: 600, New: 800
Excitation Wavelength Changed: 2/11/25 2:02:46 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:02:46 PM, Old: 400.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:02:46 PM, Old: 600.00, New: 540.00
PMT Volts Changed: 2/11/25 2:05:22 PM, Old:800, New:780
Emission PMT (V): Changed: 2/11/25 2:05:22 PM, Old: 800, New: 780
Excitation Wavelength Changed: 2/11/25 2:05:22 PM, Old: 340.00, New: 400.00
Excitation Wavelength Changed: 2/11/25 2:11:11 PM, Old: 400.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:11:11 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:11:11 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:22:03 PM, Old: 470.00, New: 340.00
Emission Wavelength Changed: 2/11/25 2:22:03 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:22:03 PM, Old: 600.00, New: 540.00
Excitation Wavelength Changed: 2/11/25 2:26:30 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 2/11/25 2:26:30 PM, Old: 560.00, New: 480.00
Stop Wavelength Changed: 2/11/25 2:26:30 PM, Old: 540.00, New: 600.00
Excitation Wavelength Changed: 2/11/25 2:35:22 PM, Old: 470.00, New: 400.00
Emission Wavelength Changed: 2/11/25 2:35:22 PM, Old: 480.00, New: 560.00
Stop Wavelength Changed: 2/11/25 2:35:22 PM, Old: 600.00, New: 540.00
Excitation Wavelength Changed: 2/11/25 2:42:16 PM, Old: 400.00, New: 470.00
